id,question,A,B,C,D,answer
37,জেনার ডায়োড যখন বর্তনীতে ব্যবহার করা হয় তখন সবসময় এর সংযোগ দেওয়া হয় -,সম্মুখ ঝোকে,সমান্তরালে,শ্রেণীতে,বিপরীত ঝোঁকে,D
38,একটি বস্তু কণার উপর স্থির বল ক্রিয়া করায় কণাটির সরণ ও সময় `t= sqrtx +5` সমীকরণ সম্পর্কিত হলে কত সেকেন্ডে কণাটির বেগ শূন্য হবে?,5s,2s,3s,4s,A
39,ইলেকট্রন-ভোল্ট কিসের একক-,কাজ,আধান,বিদ্যুৎ,বিভব পার্থক্য,A
40,"5A তড়িৎ প্রবাহ 1m দীর্ঘ তারে প্রবাহিত হচ্ছে যা 0.1Wbm-2 চৌম্বকক্ষেত্রের সাথে 30° কোণে আছে। তাহলে, অনুভূত বল কত?",2.5 N,25 N,0.025 N,0.25 N,D
41,নিউটনের গতির তৃতীয় সূত্র অনুসারে ক্রিয়া ও প্রতিক্রিয়ার মধ্যকার কোন কত?,00C,900 C,1800C,3600C,C
42,নিচের কোন গেটটি একাধিকবার ব্যবহার করে যে কোন ডিজিটাল বর্তনী তৈরি করা যায়? (Which one of the following gates can be used repeatedly to make any digital circuit?),AND,OR,XOR,NAND,D
43,পৃথিবীর গড় ঘনত্ব কত?,3.3×103kgm-3,5.5×103kgm-3,7.7×103kgm-3,1.3×103kgm-3,B
44,অর্ধপরিবাহী ডায়োডকে সম্মুখমুখী বায়াসে সংযুক্ত করলে নিঃশেষিত স্তরের বেধ -,বৃদ্ধি পায়,বিলুপ্ত হয়,অপরিবর্তিত থাকে,হ্রাস পায়,D
45,একটি আলফা কণার পুরো ভরকে শক্তিতে রূপান্তরিত করা হলে কী পরিমাণ শক্তি উৎপন্ন হবে?,3.7 GeV,3.7 MeV,3.7 eV,7.8 eV,A
46,16 ভর সংখ্যার নিউক্লিয়াসের বাসার্ধ 3 x 10-12m হলে 128 ভর সংখ্যার নিউক্লিয়াসের বাসার্ধ হবে-,6 x 10-12m,12x 10-12m,18x 10-12m,24 x 10-12m,A
47,বল ও সরণের মধ্যবর্তী কোণ কত হলে কাজ শূণ্য হবে?,60°,90°,180°,0°,B
48,বাহ্যিক তড়িৎ ক্ষেত্রের প্রভাবে যে সকল মাধ্যমের প্রতিটি পরমাণু এক একটি তড়িৎ দ্বিমেরুতে পরিণত হয় তাকে বলা হয়-,ডাইইলেকট্রিক,সেমিকন্ডাক্টর,পরিবাহী,অপরিবাহী,A
49,2 kg ভরের একটি বস্তুকে 3 m দীর্ঘ একটি সুতার এক প্রান্তে বেঁধে 4 rads-1 কৌণিক বেগে ঘোরানো হচ্ছে। সুতার ওপর টান হবে—,50 N,48 N,100 N,96 N,D
50,"মিটারে প্রকাশিত একটি বস্তুর অবস্থান x(t)=16t-3t3, যেখানে সময় t সেকেন্ডে প্রকাশিত হয়েছে। বস্তুটি ক্ষণিকের জন্য স্থির অবস্থায় থাকে যখন t এর মান-",A. 75s,B. 1.30s,C. 5.30s,D. 7.30s,B
51,"শব্দের একটি উৎস যখন শ্রোতার দিকে এগিয়ে আসে,তখন-",শব্দ তরঙ্গের দৈর্ঘ্য আপাত বৃদ্ধি পায়,কম্পন সংখ্যা আপাত বৃদ্ধি পায়,কম্পন সংখ্যা আপাত হ্রাস পায়,শব্দের গতি পরিবর্তন হয়,B
52,সূর্য হতে পৃথিবীর বায়ুমন্ডলের উপরিভাগ পর্যন্ত তাপ স্থানান্তরের ক্ষেত্রে কোন প্রক্রিয়াটি সঠিক?,বিকিরণ ও পরিবহন,পরিবহন ও আবেশ,পরিচলন,বিকিরণ,A
53,একটি স্ফেরোমিটারের গোলাকার স্কেল 50 টি দাগে সমানভাবে চিহ্নিত এক গোলাকার খেল পূর্ণ একবার আবর্তনে রৈখিক ভেল 0.1 cm পিছিয়ে যায়। লঘিষ্ঠ ধ্রুবক কত?,0.02 cm,0.002 cm,0.2 cm,0.0002 cm,B
54,টর্কের একক কোনটি?,N−1mN-1m,Nm−2Nm-2,N.m-1N.m−1,Nm,D
55,একটি বস্তু স্থির অবস্থা হতে 4 ms−2 সমত্বরণে যাত্রা শুরু করলো। 6s পর বস্তুটির বেগ কত হবে?,30 ms−1,24 ms−1,14 ms−1,12 ms−1,B
56,আদর্শ গ্যাসের ক্ষেত্রে চাপ স্থির অবস্থাতে আয়তন ও তাপমাত্রার মধ্যে সম্পর্ক সূচক সূত্র কোনটি হতে পারে?,বয়েলের,চার্লস এর,ডালটনের,কোনটিই নয়,B
57,2J গতিশক্তির একটি বস্তুর গতির বিপরীতে 2N বল প্রয়োগ করলে বস্তুটি কত দূরে অগ্রসর হয়ে থেমে যাবে?,1 m,0.5 m,2 m,1.5 m,A
58,ΔIB=0.05 mA এবং ΔIC=2 mA হলে প্রবাহ লাভ এর মান কত? ,4,0.2,50,40,D
59,একটি আদর্শ গ্যাসের নমুনার তাপমাত্রা 20°C। নমুনাটির চাপ ও আয়তন দ্বিগুণ করা হলে এর পরিবর্তিত তাপমাত্রা কত হবে?,700°C,40°C,880°C,900°C,D
60,পানির ক্ষেত্রে সমবর্তন কোণের মান কত?,56°,65°,53°,45°,C
61,পানি ও হীরকের প্রতিসরাঙ্ক যথাক্রমে 1.33 এবং 2.4 । হীরকে আলোর বেগ হবে-,1.26×108 ms-1,2.26×108 ms-1,3.26×108 ms-1,4.26×108 ms-1,A
62,একটি ট্রানজিস্টরের সবচেয়ে কম ডোপায়িত অঞ্চল -,এমিটার,বেস,কালেক্টর,এমিটার ও কালেক্টর,B
63,বায়ুতে উত্তল লেন্সের পাওয়ার P। পানিতে ডুবালে এর পাওয়ার হবে -,P এর বড়,P এর ছোট,P,কোনোটিই নয়,B
64,উপর হতে লম্বভাবে পানির 3 m নিচে রাখা কোন বস্তুর পর্যবেক্ষকের দিকে আপাত সরণ কত হবে?,0.62 m,0.74 m,0.83 m,0.92 m,B
65,একটি ট্রেন ঘন্টায় 36 km বেগে যাচ্ছে। 500m এর মাঝে একে থামাতে হলে কত মন্দন প্রয়োগ করতে হবে?,0.1 m/s2,1 m/s2,3.16 m/s2,-0.1 ms-2,A
66,কোন তড়িৎবাহী চ্যাপ্টা পরিবাহীকে লম্বা ভাবে চৌম্বক ক্ষেত্র স্থাপন করে এর মধ্য দিয়ে তড়িৎ প্রবাহ চালনা করা হলে তড়িৎ প্রবাহ ও চৌম্বক ক্ষেত্র উভয়ের সাথে লম্ব দুই বিপরীত তলে বিপরীত পার্থক্য সৃষ্টি হওয়ার ঘটনাকে কি বলে?,থমসন ক্রিয়া,সিবেক ক্রিয়া,তড়িৎ প্রবাহের চৌম্বক ক্রিয়া,হলক্রিয়া,D
67,কোনটি সরল দোলকের ব্যবহারিক ক্ষেত্র নয়?,সময় নির্ণয়,g এর মান নির্ণয়,পাহাড়ের উচ্চতা,সমুদ্রের গভীরতা,D
68,একটি কণা a বিস্তার ও মেট শক্তি E নিয়ে সরল ছন্দিত গতি সম্পাদন শুরু করে। একটি অবস্থানে এর গতি শক্তি 3E/4 হলে এর সরন কত?,y=a/2,y=a/√2,y=a√3 /2,y=a,A
69,একজন মানুষের গড় হ্রদযন্ত্রের বিট মিনিটে 75 বার। এর কম্পাঙ্ক ও পর্যায়কাল হবে-,"1.25 Hz , 0.8 s","12.5 Hz , 0.08 s","0.125 Hz , 0.13 s","2.5 Hz , 1.6 s",A
70,তড়িৎ ফ্লাক্সের সঠিক একক হলো?,Wt,Vm,Tm,NmA-1,B
71,কোনটি কেপলারের সূত্র নয়?,প্রতিটি গ্রহের পর্যায়কালের বা আবর্তন কালের বর্গ সূর্য হতে গ্রহের গড় দূরত্বের ঘনফলের সমানুপাতিক,প্রতিটি গ্রহ সূর্যকে উপবৃত্তের নাভিতে বা ফোকাসে রেখে উপবৃত্ত পথে প্রদক্ষিন করছে,সূর্য ও গ্রহের সংগে সংযুক্ত রেখা সমান সময়ে সমান ক্ষেত্রফল অতিক্রম করে,প্রতিটি গ্রহের পর্যায়কালের বর্গ সূর্য হতে দূরত্বের বর্গের সমানুপাতিক,D
72,মঙ্গল গ্রহের ব্যাস 6000 km। এর পৃষ্ঠে g এর মান 3.8 ms-2 হলে মঙ্গল গ্রহ থেকে কোন বস্তুর মুক্তি বেগ কত?,9.7 kms-1,4.77 kms-1,3.77 kms-1,11.2 kms-1,B
73,কোনটি আলোর ব্যতিচারের শর্ত নয়?,আলোর উৎস দুটি সুসঙ্গত হতে হবে,যে দুটি তরঙ্গ ব্যতিচার সৃষ্টি করে তাদের তরঙ্গদৈর্ঘ্য অবশ্যই পৃথক হতে হবে,উৎসগুলি খুব সূক্ষ্ম হতে হবে,উৎসগুলি খুব কাছাকাছি অবস্থিত হতে হবে,B
74,আয়তন দ্বিগুণ ও পরম তাপমাত্রা অর্ধেক হলে আদর্শ গ্যাস সমীকরণ অনুসারে গ্যাসের চাপের কীরূপ পরিবর্তন হবে?,এক-চতুর্থাংশ,অর্ধেক,দ্বিগুণ,অপরিবর্তনশীল,A
75,A ও B দুটো সরিষা এলাকা একত্রে বাজালে প্রতি সেকেন্ডে পাঁচটি বিট শোনা যায়। A এর ভর কমালে বিট কমে। A এর কম্পাঙ্ক কত? fB = 440 Hz,440 Hz,435 Hz,445 Hz,450 Hz,B
76,প্রিজমের ক্ষেত্রে ন্যূনতম বিচ্যুতির শর্ত কোনটি?,"i1>=i2, r1=r2","i1<ic, r1>r2","i1=i2, r1=r2","i1<i2, r1=r2",C
77,একটি বৃত্তের পরিমাপ্য ব্যাসার্ধ ( 5 ± 0.2%) cm হলে ক্ষেত্রফল পরিমাপে শতকরা ত্রুটি কত? ,8%,0.50%,0.40%,0.20%,A
78,একটি তরঙ্গের দুটি বিন্দুর মধ্যে দশা পার্থক্য 4π হলে পথ পার্থক্য হবে-,λ/2,λ/4,2λ,4λ,C
79,৫ কেজি ও ১০ কেজি ভরের দুটি গোলক শূন্যস্থানে ২ মিটার দূরত্বে স্থাপন করা হলো। যদি G = 6.67×10^-11 Nm²/kg² হয়; তবে তাদের মধ্যে মহাকর্ষীয় বলের মান কত হবে?,1.67×10^-10 N,3.34×10^-10 N,5.00×10^-10 N,6.67×10^-10 N,C
80,m ভর ও l দৈর্ঘ্যের কোনো দন্ডের ভরকেন্দ্রগামী লম্ব অক্ষ থেকে `l/4` দূরত্বে সমান্তরাল অক্ষের সাপেক্ষে জড়তার ভ্রামক কত? ,7/48 ml2,1/3ml2 ,19/48ml2 ,19/49ml2 ,A
81,সরলতম সংখ্যা পদ্ধতি নিচের কোনটি?,অক্টাল পদ্ধতি,হেক্সাডেসিমেল পদ্ধতি,ডেসিমেল পদ্ধতি,বাইনারি পদ্ধতি,D
82,"14°Cএ একটি মাধ্যমের চাপ ও তাপমাত্রা উভয়ই 4 গুণ বাড়ানো হলে , শব্দের বেগ বাড়বে -",200%,114%,14.60%,7%,D
83,একটি তেজস্ক্রিয় পদার্থের নির্দিষ্ট আইসোটোপের অর্ধায়ু 6.5h। প্রারম্ভে পরমাণুর সংখ্যা ছিল 4.8 x 1020। 26 ঘন্টা পরে তেজস্ক্রিয় পরমাণু সংখ্যা কত হবে ?,6.0 x 1019 টি,1.2 x 1020টি,2.4 x 1020 টি,3 x 1019 টি,D
84,14 মিনিট পরে একটি তেজস্ক্রিয় মৌলের অংশ 1/16 অবশিষ্ট থাকে। এর অর্ধায়ু কত হবে?,7/8 min,7/4 min,7/2 min,14/3 min,C
85,গ্যালভানোমিটারের তড়িৎ বর্তনীতে শান্ট ব্যবহার করা হয় কী উদ্দেশ্যে?,গ্যালভানোমিটারের বিদ্যুৎ প্রবাহ বাড়ানোর জন্য,গ্যালভানোমিটারের বিদ্যুৎ প্রবাহ কমানোর জন্য,গ্যালভানোমিটারের বিভব পার্থক্য বাড়ানোর জন্য,গ্যালভানোমিটারের বিভব পার্থক্য কমানোর জন্য,B
86,এক ব্যক্তি সূর্যোদয়ের দিকে 12m যাবার পর ঠিক উত্তর দিকে ঘুরলো এবং 5m গেল। তার সরণ কত মিটার?,17,16.67,17.67,13,D
87,কোনো দিক পরিবর্তী তড়িচ্চালক শক্তির সমীকরণ E = 220 sin 314 t তড়িচ্চালক শক্তির গড় বর্গের বর্গমূল মান কত?,140.14 V,155.54 V,311.17 V,345.36 V,B
88,কাজের পরিমাণ সবচেয়ে বেশি হয় যখন প্রযুক্তবল ও সরণের মধ্যে কোণের মান হয় -,0°,90°,45°,180°,A
89,0°C তাপমাত্রায় 1kg বরফকে শুধুমাত্র গলাতে কত তাপের প্রয়ােজন?,3.0×102 kj,3.36×102 kj,4.0×102 kj,4.36×102 kj,B
90,একটি ভারী বস্তুর ভর অপর একটি হালকা বস্তুর ভরের দ্বিগুণ।বস্তু দুটির ভরবেগ সমান। বস্তু দুটির গতিশক্তির অনুপাত-,2:01,1:02,1:04,4:01,B
91,কোন বিজ্ঞানী কোয়ান্টাম তত্ত্বের ধারণাকে সম্প্রসারিত করেন?,Michel Faraday,Albert Einstein,Max Planck,Newton,C
92,গোলকের ভেতরে প্রাবল্য-,সর্বনিম্ন,পৃষ্ঠের সমান,শূন্য,সর্বোচ্চ,C
93,`3hati-4hatj+12hatk`ভেক্টরটির মান কত?,8,11,13,18,C
94,নিচের কোন ভৌত প্রক্রিয়া শব্দ তরঙ্গ দ্বারা প্রদর্শিত হয় না?,প্রতিসরণ,ব্যাতিচার,সমবর্তন,অপবর্তন,C
95,একজন লোকের ভর 99 Kg।কত বেগের উড়ন্ত রকেটে থাকাকালীন মাটিতে অবস্থিত একজন পর্যবেক্ষকের নিকট তার ভর 100 Kg হবে?,4.23×107m/sec,1.41×107 m/sec,9×107m/sec,None of these,A
96,কক্ষ তাপমাত্রায় কোন ধরনের পদার্থের পরিবহন ব্যান্ড সম্পূর্ণ ফাঁকা থাকে না?,অর্ধ পরিবাহক পদার্থ,পরিবাহক পদার্থ,অপরিবাহক পদার্থ,কোনোটিই নয়,A
97,+2.0 D দূরত্বের একটি লেন্সের ফোকাস দূরত্ব কত?,-0.2m,+0.2m,+0.5m,-0.5m,C
98,ফেরোচৌম্বক পদার্থের ক্ষেত্রে -,"μ >1, K >>1","μ<<1, K >>1","μ>>1, K <1","μ<1, K=1",A
99,বায়ু ও হীরকের মধ্যকার সংকট কোণ 25o হলে হীরকের প্রতিসরাঙ্ক কত?,sin 25o,1.33/sin 25o,1/(1.33sin 25o),1/sin 25o,D
100,কোন দোলকের দোলনকাল T= 0.125s হলে দোলকটির কম্পাঙ্ক কত?,10 Hz,8 Hz,125 Hz,12.5 Hz,B
101,"220V, 40W এবং 110V, 40W লেখা দুটো ইলেকট্রিক বাল্বের রোধের অনুপাত-",1:02,2:01,4:01,6:01,C
102,ব্যতিচারের শর্ত কোনটি?,তরঙ্গদৈর্ঘ্য ভিন্ন হতে হবে,অপবর্তনের ফলে তৈরি হয়,১টি উৎস হতে হবে,তরঙ্গ দুটির বিস্তার সমান হতে হবে,D
103,একটি p-n জাংশনের নিঃশেষিত অঞ্চলে থাকে-,কেবলমাত্র ইলেকট্রন,কেবলমাত্র হোল,ইলেকট্রন ও হোল উভয়ই,কেবলমাত্র আয়ন,D
104,নিম্নের কোনটি কাজের একক নয়?,J,Nm,Jm,Kgm,C
105,চৌম্বক দৈর্ঘ্য জ্যামিতিক দৈর্ঘ্যর কতগুন?,0.1,0.5,0.65,0.85,D
106,সর্বনিম্ন কত বেগে ভুপৃষ্ঠ হতে (m) ভরের একটি বস্তুকে উপরের দিকে নিক্ষেপে তা আর কখনো ফিরে আসবে না?,√(2gR),√(2) gR,gR,2√(gR),A
107,অণুবীক্ষণ যন্ত্রের বেলায় কোন উক্তিটি সঠিক নয় ?,নিকটবর্তী অতি ক্ষুদ্র বস্তু পর্যবেক্ষণের কাজে ব্যবহৃত হয়,অভিনেত্রের সাপেক্ষে অবিলক্ষ্য লেন্সের উন্মেষ ও ফোকাস দূরত্ব ছোট হয়,অভিলক্ষ্যে লক্ষ্য বস্তুর প্রতিবিম্ব ফোকাস দূরত্ব ছোট হয়,চূড়ান্ত প্রতিবিম্ব লক্ষ্য বস্তুর সাপেক্ষে উল্টো হয়,C
108,সবচেয়ে সহজ উপগ্রহ কক্ষপথ সৃষ্টি করা যায় তা মোটামুটি বৃত্তাকার এবং সেটা পৃথিবী পৃষ্ঠের ঠিক উপরে হবে যাতে অতিরিক্ত বায়ু ঘর্ষণ না হয়। এই তথাকথিত সর্বনিম্ন কক্ষপথে উপগ্রহের গতিবেগ কত? [পৃথিবীর ব্যাসার্ধ 6.4×106 m],7.92 km/s,15.84 km/s,79.2 km/s,0.792 km/s,A
109,4μF এবং 8μF দুটি ধারককে 100V ব্যাটারির সাথে সমান্তরালে যুক্ত করা হলো।এক ঘন্টা পর ধারক দুটিতে যথাক্রমে কত কুলম্ব চার্জ জমা হবে?,4×10-6ও 8×10-6,4×10-4ও 8×10-4,32×10-2 ও 8×10-2,12×10-4ও 4×10-4,B
110,কোনো কুণ্ডলীর মধ্য দিয়ে অতিক্রান্ত চৌম্বকক্ষেত্র রেখার সংখ্যাকে বলা হয় ঐ কুণ্ডলীর সাথে সংশ্লিষ্ট—,চৌম্বক আবেশ,চৌম্বক ফ্লাক্স,তড়িৎ আবেশ,তড়িৎ ফ্লাক্স,B
111,150m দীর্ঘ একটি ট্রেন 10ms-1 গতিতে উত্তর দিকে যাচ্ছে। ট্রেনটির সমান্তরালে একটি তোতা পাখি দক্ষিণ দিকে 5ms-1 গতিতে উড়ে যেতে থাকলে ট্রেনটি অতিক্রম করতে তোতা পাখির কতো সময় লাগবে?,12,4,15,10,D
112,"মুক্তভাবে পড়ন্ত কোনো বস্তুর 1s, 2s, 3s- এ অতিক্রান্ত দূরত্বের অনুপাত -",1:02:03,1:04:09,1:03:09,1:03:05,B
113,বৈদ্যুতিক ফিউজে সিসা ও টিনের মিশ্রনের অনুপাত কত?,1:03,3:01,2:03,3:02,B
114,অক্সিজেনের স্থির আয়তনে আপেক্ষিক তাপ 0.146 calg-1°C-1 হলে ওই গ্যাসের cP =? (অক্সিজেনের আণবিক ভর=32 এবং R= 2 cal mol-1 °C-1,0.208 cal mol-1 °C-1,0.208 cal g-1°C-1,7.87 cal mol-1 °C-1,7.45 cal g-1°C-1,B
115,গ্যাস মাধ্যমে শব্দের বেগ এর উষ্ণতার -,বর্গের সমানুপাতিক,সমানুপাতিক,বর্গমূলের সমানুপাতিক,বর্গমূলের ব্যস্তানুপাতিক,D
116,একটি আহিত বস্তুকে পৃথিবীর সাথে যুক্ত করলে বস্তুটিতে আধানের পরিমাণ—,বৃদ্ধি পাবে,হ্রাস পাবে,অপরিবর্তিত থাকবে,শূন্য হবে,D
117,মঙ্গল গ্রহের ব্যাসার্ধ 3×106m এবং পৃষ্ঠে অভিকর্ষীয় ত্বরণ 3.8ms−2 হলে মঙ্গল গ্রহের পৃষ্ঠ হতে একটি বস্তুর মুক্তিবেগ কত?,4.77 ms−1,477ms−1,4.77 kms−1,477 kms−1,C
118,একটি মিটার ব্রিজের বাম ও ডান ফাঁকে যথাক্রমে 20Ω ও 60Ω রোধ যুক্ত করা হয়েছে। সাম্যবিন্দুর অবস্থান ডান প্রান্ত হতে কত দূরে?,25 cm,75 m,25 m,75 cm,D
119,প্রকৃতিতে সর্বোচ্চ সংখ্যক প্রোটন সমৃদ্ধ স্থায়ী নিউক্লিয়াস কোনটি?,ইউরেনিয়াম,নাইট্রোজেন,থোরিয়াম,বিসমাথ,D
120,প্রতি সেকেন্ডে 10 litre পানি 10m উপরে তোলার জন্য কত ক্ষমতার পাম্প দরকার?,98 W,100 kW,980 W,980 kW,C
121,200 mm ব্যাসার্ধের একটি গোলক কোনো তরলের ভিতর দিয়ে 2.1×10-2ms-1 প্রান্তবেগ নিয়ে পড়ছে। এ তরলের সান্দ্রতাঙ্ক 0.003 Nsm-2 হলে সান্দ্রবলের মান কত হবে ?,2.374×10-8N,2.374×10-4N,2.374×10-3N,2.374×10-3N,B
122,30°C তাপমাত্রায় কোনো রোধকের রোধ 70°C তাপমাত্রায় রোধের দ্বিগুণ হয়। রোধকের উষ্ণতা সহগ কত?,-1/110°C-1,1/40°C-1 ,-1/80°C-1 ,3/40°C-1 ,A
123,পথ পার্থক্য 2×10-7,2π,3π/2,π,π/2,C
124,একটি আদর্শ গ্যাসের চাপ ও আয়তনের গুণফল-,ধ্রুবক,সর্বজনীন গ্যাস ধ্রুবকের প্রায় সমান,তাপমাত্রার সমানুপাতিক,এর তাপমাত্রার ব্যস্তানুপাতিক,C
125,কোন ট্রানজিস্টরের ΔIB = 0.02 mA এবং ΔIC = 1 mA হলে β এর মান কত?,0.02,200,100,50,D
