id,question,A,B,C,D,topic,question_type
49,An object of mass 2 kg; tied to one end of a 3 m long string; is rotated with an angular velocity of 4 rads-1. The tension on the string will be,50 N,48 N,100 N,96 N,Rotational Motion,Mathematical
50,The position of an object in meters is given by x(t)=16t-3t3; where time t is in seconds. The object is momentarily at rest when the value of t is-,75s,1.30s,5.30s,7.30s,Kinematics,Mathematical
51,When a source of sound approaches a listener; then-,The apparent wavelength of the sound wave increases,The apparent frequency increases,The apparent frequency decreases,The speed of sound changes,Waves,Theoretical
52,Which process is correct for heat transfer from the sun to the upper part of the Earth's atmosphere?,Radiation and conduction,Conduction and induction,Convection,Radiation,Thermodynamics,Theoretical
53,The circular scale of a spherometer is equally marked with 50 divisions; one full rotation of the circular scale moves the linear scale back by 0.1 cm. What is the least count?,0.02 cm,0.002 cm,0.2 cm,0.0002 cm,Experimental Physics,Mathematical
54,What is the unit of torque?,N−1mN-1m,Nm−2Nm-2,N.m-1N.m−1,Nm,Rotational Motion,Definition
55,An object starts from rest with a uniform acceleration of 4 ms?2. What will be its velocity after 6s?,30 ms−1,24 ms−1,14 ms−1,12 ms−1,Kinematics,Mathematical
56,For an ideal gas; which law indicates the relationship between volume and temperature at constant pressure?,Boyle's,Charles's,Dalton's,None of these,Kinetic Theory,Theoretical
57,If a force of 2N is applied opposite to the motion of an object with 2J of kinetic energy; how far will the object travel before stopping?,1 m,0.5 m,2 m,1.5 m,Work and Energy,Mathematical
58,If ΔIB=0.05 mA and ΔIC=2 mA; what is the value of the current gain?,4,0.2,50,40,Semiconductor Physics,Mathematical
59,The temperature of an ideal gas sample is 20°C. If both the pressure and volume of the sample are doubled; what will be its new temperature?,700°C,40°C,880°C,900°C,Kinetic Theory,Mathematical
60,What is the value of the polarizing angle for water?,56°,65°,53°,45°,Wave Optics,Theoretical
61,The refractive indices of water and diamond are 1.33 and 2.4 respectively. The speed of light in diamond will be-,1.26×108 ms-1,2.26×108 ms-1,3.26×108 ms-1,4.26×108 ms-1,Ray Optics,Mathematical
62,The least doped region of a transistor is -,Emitter,Base,Collector,Emitter and Collector,Semiconductor Physics,Theoretical
63,The power of a convex lens in air is P. When immersed in water; its power will be -,Greater than P,Less than P,P,None of these,Ray Optics,Reasoning
64,What will be the apparent displacement towards the observer of an object placed 3 m below the water surface when viewed vertically from above?,0.62 m,0.74 m,0.83 m,0.92 m,Ray Optics,Mathematical
65,A train is traveling at a speed of 36 km per hour. What deceleration must be applied to stop it within 500m?,0.1 m/s2,1 m/s2,3.16 m/s2,-0.1 ms-2,Kinematics,Mathematical
66,When a flat current-carrying conductor is placed in a magnetic field perpendicularly and a current is passed through it; the phenomenon of creating a potential difference across two opposite faces perpendicular to both the current and the magnetic field is called what?,Thomson effect,Seebeck effect,Magnetic effect of electric current,Hall effect,Magnetism,Definition
67,Which is not a practical application of a simple pendulum?,Determining time,Determining the value of g,Height of a mountain,Depth of the sea,Oscillations,Application
68,A particle starts executing simple harmonic motion with amplitude 'a' and total energy E. At a certain position; if its kinetic energy is 3E/4; what is its displacement?,y=a/2,y=a/√2,y=a√3 /2,y=a,Oscillations,Mathematical
69,The average heart of a person beats 75 times per minute. Its frequency and period will be-,"1.25 Hz , 0.8 s","12.5 Hz , 0.08 s","0.125 Hz , 0.13 s","2.5 Hz , 1.6 s",Oscillations,Mathematical
70,What is the correct unit of electric flux?,Wt,Vm,Tm,NmA-1,Electrostatics,Definition
71,Which is not one of Kepler's laws?,The square of the orbital period of each planet is proportional to the cube of the average distance from the sun,Each planet revolves in an elliptical orbit with the sun at one of the foci of the ellipse,The line joining the sun and a planet sweeps out equal areas in equal intervals of time,The square of the period of each planet is proportional to the square of the distance from the sun,Gravitation,Theoretical
72,The diameter of Mars is 6000 km. If the value of g on its surface is 3.8 ms-2; what is the escape velocity of an object from Mars?,9.7 kms-1,4.77 kms-1,3.77 kms-1,11.2 kms-1,Gravitation,Mathematical
73,Which is not a condition for interference of light?,The two light sources must be coherent,The wavelengths of the two interfering waves must be different,The sources must be very narrow,The sources must be very close to each other,Wave Optics,Theoretical
74,If the volume is doubled and the absolute temperature is halved; what change will occur in the pressure of an ideal gas according to the ideal gas equation?,One-fourth,Half,Double,Unchanged,Kinetic Theory,Reasoning
75,When two tuning forks A and B are sounded together; five beats are heard per second. If the mass of A is reduced; the number of beats decreases. What is the frequency of A? fB = 440 Hz,440 Hz,435 Hz,445 Hz,450 Hz,Waves,Reasoning
76,What is the condition for minimum deviation in a prism?,"i1>=i2, r1=r2","i1<ic, r1>r2","i1=i2, r1=r2","i1<i2, r1=r2",Ray Optics,Theoretical
77,If the measured radius of a circle is ( 5 ± 0.2%) cm; what is the percentage error in the measurement of its area?,8%,0.50%,0.40%,0.20%,Units and Dimensions,Mathematical
78,If the phase difference between two points of a wave is 4?; the path difference will be-,λ/2,λ/4,2λ,4λ,Waves,Mathematical
79,Who prorogues the session of the Jatiya Sangsad (National Parliament) of Bangladesh?,Deputy Speaker,Speaker,President,Prime Minister,Miscellaneous,Miscellaneous
80,What is the moment of inertia of a rod of mass m and length l about an axis parallel to the perpendicular axis passing through its center of mass and at a distance of `l/4`?,7/48 ml2,1/3ml2,19/48ml2,19/49ml2,Rotational Motion,Mathematical
81,Which of the following is the simplest number system?,Octal system,Hexadecimal system,Decimal system,Binary system,Miscellaneous,Miscellaneous
82,At 14°C; if both the pressure and temperature of a medium are increased 4 times; the speed of sound will increase by -,200%,114%,14.60%,7%,Waves,Mathematical
83,The half-life of a specific isotope of a radioactive substance is 6.5h. Initially; the number of atoms was 4.8 x 10^20. What will be the number of radioactive atoms after 26 hours?,6.0 x 1019 atoms,1.2 x 1020 atoms,2.4 x 1020 atoms,3 x 1019 atoms,Nuclear Physics,Mathematical
84,After 14 minutes; 1/16 of a radioactive element remains. What will be its half-life?,7/8 min,7/4 min,7/2 min,14/3 min,Nuclear Physics,Mathematical
85,For what purpose is a shunt used in a galvanometer's electric circuit?,To increase the current flow through the galvanometer,To decrease the current flow through the galvanometer,To increase the potential difference across the galvanometer,To decrease the potential difference across the galvanometer,Current Electricity,Application
86,A person walks 12m towards sunrise; then turns directly north and walks 5m. What is his displacement in meters?,17,16.67,17.67,13,Vectors,Mathematical
87,The equation of an alternating electromotive force is E = 220 sin 314 t. What is the root mean square value of the electromotive force?,140.14 V,155.54 V,311.17 V,345.36 V,Alternating Current,Mathematical
88,The amount of work done is maximum when the angle between the applied force and displacement is -,0°,90°,45°,180°,Work and Energy,Theoretical
89,How much heat is required to only melt 1kg of ice at 0°C?,3.0×10^2 kj,3.36×10^2 kj,4.0×10^2 kj,4.36×10^2 kj,Thermodynamics,Mathematical
90,The mass of a heavy object is double the mass of a light object. The momentum of the two objects is equal. The ratio of their kinetic energies is-,2:01,1:02,1:04,4:01,Work and Energy,Mathematical
91,Which scientist expanded the concept of quantum theory?,Michel Faraday,Albert Einstein,Max Planck,Newton,Quantum Mechanics,Historical
92,The intensity inside a sphere is-,Minimum,Equal to the surface,Zero,Maximum,Electrostatics,Theoretical
93,What is the magnitude of the vector `3hati-4hatj+12hatk`?,8,11,13,18,Vectors,Mathematical
94,Which of the following physical phenomena is not exhibited by sound waves?,Refraction,Interference,Polarization,Diffraction,Waves,Comparison
95,A person's mass is 99 Kg. At what velocity in a flying rocket will his mass appear to be 100 Kg to an observer on the ground?,4.23×107m/sec,1.41×107 m/sec,9×107m/sec,None of these,Relativity,Mathematical
96,At room temperature; which type of material's conduction band is not completely empty?,Semiconductor material,Conductor material,Insulator material,None of these,Semiconductor Physics,Theoretical
97,What is the focal length of a lens with a power of +2.0 D?,-0.2m,+0.2m,+0.5m,-0.5m,Ray Optics,Mathematical
98,In the case of ferromagnetic materials -,"μ >1, K >>1","μ<<1, K >>1","μ>>1, K <1","μ<1, K=1",Magnetism,Theoretical
99,If the critical angle between air and diamond is 25o; what is the refractive index of diamond?,sin 25o,1.33/sin 25o,1/(1.33sin 25o),1/sin 25o,Ray Optics,Mathematical
100,If the period of a pendulum is T= 0.125s; what is its frequency?,10 Hz,8 Hz,125 Hz,12.5 Hz,Oscillations,Mathematical
101,The ratio of the resistances of two electric bulbs labeled 220V,1:02,2:01,4:01,6:01,Current Electricity,Mathematical
102,Which is the condition for interference?,Wavelengths must be different,Is created as a result of diffraction,Must be from one source,The amplitudes of the two waves must be equal,Wave Optics,Theoretical
103,A p-n junction's depletion region contains-,Only electrons,Only holes,Both electrons and holes,Only ions,Semiconductor Physics,Theoretical
104,Which of the following is not a unit of work?,J,Nm,Jm,Kgm,Units and Dimensions,Theoretical
105,Magnetic length is what multiple of geometric length?,0.1,0.5,0.65,0.85,Magnetism,Theoretical
106,What is the minimum velocity for an object of mass (m) thrown upwards from the Earth's surface to never return?,√(2gR),√(2) gR,gR,2√(gR),Gravitation,Definition
107,Which statement is not correct for a microscope?,Used to observe very small nearby objects,The aperture and focal length of the objective lens are small compared to the eyepiece,The focal length of the image of the object in the objective is small,The final image is inverted with respect to the object,Ray Optics,Theoretical
108,The easiest satellite orbit to create is roughly circular and just above the Earth's surface to avoid excessive air friction; what is the speed of the satellite in this so-called lowest orbit? [Earth's radius 6.4Ã—106 m],7.92 km/s,15.84 km/s,79.2 km/s,0.792 km/s,Gravitation,Mathematical
109,Two capacitors of 4μF and 8μF are connected in parallel with a 100V battery; after one hour; what will be the charge in coulombs stored in the two capacitors respectively?,4×10-6 and 8×10-6,4×10-4 and 8×10-4,32×10-2 and 8×10-2,12×10-4 and 4×10-4,Electrostatics,Mathematical
110,The number of magnetic field lines passing through a coil is called the coil's associated,Magnetic induction,Magnetic flux,Electric induction,Electric flux,Electromagnetic Induction,Definition
111,A 150m long train is moving north at 10ms-1; if a parrot flies south parallel to the train at 5ms-1; how long will it take the parrot to cross the train?,12,4,15,10,Kinematics,Mathematical
112,The ratio of the distances covered by a freely falling body in 1s; 2s; and 3s is -,1:02:03,1:04:09,1:03:09,1:03:05,Kinematics,Mathematical
113,What is the ratio of lead and tin mixture in an electric fuse?,1:03,3:01,2:03,3:02,Current Electricity,Application
114,If the specific heat of oxygen at constant volume is 0.146 calg-1°C-1; what is cP for that gas? (Molecular mass of oxygen=32 and R= 2 cal mol-1 °C-1),0.208 cal mol-1 °C-1,0.208 cal g-1°C-1,7.87 cal mol-1 °C-1,7.45 cal g-1°C-1,Thermodynamics,Mathematical
115,The velocity of sound in a gas medium is of its temperature,proportional to the square,proportional,proportional to the square root,inversely proportional to the square root,Waves,Theoretical
116,If a charged object is connected to the earth; the amount of charge on the object will,increase,decrease,remain unchanged,become zero,Electrostatics,Theoretical
117,If the radius of Mars is 3×106m and the gravitational acceleration on its surface is 3.8ms−2; what is the escape velocity of an object from the surface of Mars?,4.77 ms−1,477ms−1,4.77 kms−1,477 kms−1,Gravitation,Mathematical
118,If 20Ω and 60Ω resistors are connected in the left and right gaps of a meter bridge respectively; what is the position of the balance point from the right end?,25 cm,75 m,25 m,75 cm,Current Electricity,Mathematical
119,Which is the stable nucleus with the highest number of protons found in nature?,Uranium,Nitrogen,Thorium,Bismuth,Nuclear Physics,Theoretical
120,What power of pump is needed to lift 10 litres of water 10m high per second?,98 W,100 kW,980 W,980 kW,Work and Energy,Mathematical
121,A sphere of radius 200 mm is falling through a liquid with a terminal velocity of 2.1×10-2ms-1; if the coefficient of viscosity of this liquid is 0.003 Nsm-2; what will be the value of the viscous force?,2.374×10-8N,2.374×10-4N,2.374×10-3N,2.374×10-3N,Fluid Mechanics,Mathematical
122,The resistance of a resistor at 30°C is double its resistance at 70°C; what is the temperature coefficient of the resistor?,-1/110°C-1,1/40°C-1 ,-1/80°C-1 ,3/40°C-1 ,Current Electricity,Mathematical
123,In Young’s double slit experiment; if the path difference between the two interfering waves is 2×10^-7 m (wavelength 4×10^-7 m); the corresponding phase difference and nature of interference is:,2π,3π/2,π,π/2,Wave Optics,Mathematical
124,The product of pressure and volume of an ideal gas is-,constant,almost equal to the universal gas constant,proportional to the temperature,inversely proportional to its temperature,Thermodynamics,Theoretical
125,If for a transistor ΔIB = 0.02 mA and ΔIC = 1 mA; what is the value of β?,0.02,200,100,50,Semiconductor Physics,Mathematical
126,What is the sound intensity level of a normal conversation?,40 dB,50 dB,60 dB,70 dB,Waves,Application
127,In which year did Michael Faraday discover electromagnetic induction?,1831,1819,1751,1758,Electromagnetic Induction,Historical
128,On which part of a charged object does the most charge reside?,On the concave surface,On the convex surface,At the center,On the flat surface,Electrostatics,Theoretical
129,Who introduced the concept of electric field lines?,Lenz,Faraday,Newton,Einstein,Electrostatics,Historical
130,If the angle of contact is less than 90°; what will be the shape of the liquid surface?,Concave,Convex,Plano-concave,Plano-convex,Fluid Mechanics,Theoretical
131,For positive work done by a force; what is the range of the angle between the force and displacement?,0° < θ ≤ 90°,0° ≤ θ < 90°,0° ≤ θ ≤ 90°,0° ≤ θ < 180°,Work and Energy,Reasoning
132,What is the value of `1/(sqrt(ϵ_0μ_0)` in a vacuum?,8.85×10−12C2N−1m−2,3×10^8ms−1,`sqrt(3×10^8ms−1)`,4π×10−7NA−2,Electromagnetic Waves,Theoretical
133,How is an ammeter connected with a resistor in a circuit?,In series,In parallel,Both in series and parallel,None of these,Current Electricity,Application
134,Which impurity should be mixed with pure Germanium to produce a p-type semiconductor?,Phosphorus,Boron,Antimony,None of these,Semiconductor Physics,Theoretical
135,If current flows in the same direction through two parallel conducting wires; they will-,attract each other,repel each other,feel no force,become cool,Magnetism,Theoretical
136,If the period of a spring system T=2π√mkT=2πmk is 3 sec on the surface of the Earth; what is its period of oscillation at the center of the Earth?,0 sec,2 sec,3 sec,âˆ,Oscillations,Reasoning
137,The theory of relativity is divided into how many parts?,3,2,5,4,Relativity,Theoretical
138,The efficiency of a Carnot engine with a heat sink at 27°C is 20%; to double the efficiency; what change must be made to the temperature of the heat source?,Must be increased by 125°C,Must be decreased by 375°C,Must be decreased by 125K,Must be increased by 227°C,Thermodynamics,Mathematical
139,An object of mass 500g is revolving in a circular path of radius 2m; if the period of revolution is 10s; what is the angular momentum of the object?,`1.256 kgm^2s^-1`,`2.256 kgm^2s^-1`,`3.256 kgm^2s^-1`,`4.256 kgm^2s^-1`,Rotational Motion,Mathematical
140,A man of 55 kg mass climbed to the roof of a 10 m high building in 1 minute carrying a load of 5 kg mass; what is the man's rate of doing work?,980 W,5880 W,98 W,10 W,Work and Energy,Mathematical
141,If the temperature of an object on the Fahrenheit scale is 50°F; what is its temperature on the Kelvin scale?,273K,373K,283K,383K,Thermodynamics,Mathematical
142,In Young's double-slit experiment the fringe width is 5 mm; if the distance between the slits is halved; the new fringe width will be-,10 mm,2.5 mm,20 mm,7.5 mm,Wave Optics,Reasoning
143,"What is the magnitude of the resultant `vecR` of two vectors `vecP,vecQ`?",always R = P + Q,always R < P + Q,always  R > P ~ Q,P ~ Q ? R ? P + Q,Vectors,Theoretical
144,If the wavelength of light from an LED is 4500 × 10-10 m; what type of light could it be?,Red,Green,Blue,Yellow,Wave Optics,Application
145,The range of a rifle is 100 meters; if the moon's gravity is 1/6th of Earth's gravity; what will be the rifle's range on the lunar surface under the same conditions?,600 m,900 m,400 m,300 m,Kinematics,Reasoning
146,Arrange in order of increasing gravitational acceleration 'g'. (Dhaka = D; Rome = R; North Pole = N; a ship on the equator = = E),DREN,EDRN,RNED,DENR,Gravitation,Reasoning
147,When looking straight down from above a thick glass slab (refractive index 1.5) used as a paperweight; a mark on the paper is seen below the top surface of the glass. What is the thickness of the glass slab?,4 cm,6 cm,9 cm,12 cm,Ray Optics,Mathematical
148,Which is the equation for the radius of the event horizon?,R= GM/2c2,R = GM/c2,R = c2/2GM,R = 2GM/c2,Relativity,Theoretical
149,A bullet loses 1/20 of its velocity while penetrating a wooden plank; how many such planks will be needed to stop the bullet?,10,11,20,21,Work and Energy,Mathematical
150,Which of the following is an example of a transverse wave?,X-ray,Wave in a spring,Sound of a drum beat,Tune of a flute,Waves,Theoretical
151,How many convex lenses is a compound microscope made of?,4,1,2,3,Ray Optics,Theoretical
152,A Carnot engine receives heat at a temperature of 227°C and rejects heat at a temperature of 77°C; What is the efficiency of the engine?,70%,35%,30%,66%,Thermodynamics,Mathematical
153,Which of the following cannot be the value of 1 MW?,1000 KW,106 W,103 j/s,10-3GW,Units and Dimensions,Reasoning
154,The time period of a simple pendulum is T; If the pendulum falls freely; its changed time period will be-,0,∞,2s,T,Oscillations,Reasoning
155,The direction of B and H is -,Opposite direction,Perpendicular to each other,Same direction,None of these,Magnetism,Theoretical
156,What is an electronic circuit that takes one or more inputs; processes them according to Boolean algebra; and provides a single output called?,Magic gate,AND gate,Logic gate,X-gate,Semiconductor Physics,Definition
157,If the flux in a coil with 50 turns changes by 10-3 Wb in 0.01 sec; what is the magnitude of the induced electromotive force created in the coil?,1 V,5 V,10 V,None of these,Electromagnetic Induction,Mathematical
158,What is used for the rectification of electric current?,Diode,Transistor,Resistor,Amplifier,Semiconductor Physics,Application
159,A seconds pendulum gives the correct time on the Earth's surface; If it is taken to the Moon; what will be its time period? The mass of the Earth is 81 times the mass of the Moon and the radius of the Earth is 4 times the radius of the Moon.,4.5s,5.4s,3.5s,6.5s,Gravitation,Mathematical
160,A car moving at a velocity of 5 ms−1 acquires a velocity of 20 ms−1 in 10 s when a force is applied; If the weight of the car is 700 N; the applied force is-,107.14 N,1050 N,500.28 N,720 N,Laws of Motion,Mathematical
161,Which of the following is a heat engine?,Steam engine,Petrol engine,Diesel engine,All of them,Thermodynamics,Application
162,→A=3ˆi−2ˆj+ˆk;A→=3i^-2j^+k^; →B=6ˆi−mˆj+4ˆkB→=6i^-mj^+4k^; what is the value of m for which the vectors will be perpendicular?,9,-11,12,13,Vectors,Mathematical
163,What is the motion of one moving object with respect to another called?,Absolute motion,Relative rest,Absolute rest,Relative motion,Kinematics,Definition
164,If the length of the side of a cube is 6cm and Y=2×108Nm?2; what is the Poisson's ratio? [ Bulk modulus 3.75×1011Nm?2 ],0.5,0.45,0.49,0.63,Properties of Matter,Mathematical
165,Which is the theory of the creation of the universe?,Theory of relativity,Quantum theory,Big Bang theory,Wave theory,Astronomy,Theoretical
166,If the radius of the Earth is 6×10^6m; at what height from the Earth's surface will the value of gravitational acceleration be one percent?,2.97×106m,1.97×106m,3.97×106m,None of these,Gravitation,Mathematical
167,If the difference in wavelengths of two sound waves with frequencies of 600 Hz and 400 Hz in a medium is 1m; what is the speed of sound in that medium?,1.2 × 102 m/s,1.2 ×103 m/s,2.4 ×102 m/s,1.9 × 102 m/s,Waves,Mathematical
168,What is the half-life of Uranium?,15 × 10^8 year,25 ×10^8 year,45 ×10^8 year,30 ×10^8 year,Nuclear Physics,Theoretical
169,What is the unit of the coefficient of viscosity?,Nms-1,Nm-1,N-1m-1s,Nsm-2,Fluid Mechanics,Definition
170,An object is thrown vertically upwards with a velocity of 196 ms-1; After 20 s its velocity will be—,50 ms-1,60ms-1,0ms-1,10ms-1,Kinematics,Mathematical
171,One horsepower is equal to how many watts?,746,747,798,749,Units and Dimensions,Definition
172,Which is Heisenberg's uncertainty principle?,`DeltatDeltap>=h/(2pi)`,`DeltaEDeltat>=h/(2pi)`,`DeltapDeltaE>=h/(2pi)`,`DeltaxDeltap>=h/(pi)`,Quantum Mechanics,Theoretical
173,In Young's double-slit experiment; using light of 900 nm wavelength; 15 fringes were found in a part of the screen; If the wavelength of light is changed to 500 nm; what will be the number of fringes in that part of the screen?,30,18,12,27,Wave Optics,Mathematical
174,What is the value of the average current for a full cycle?,0,1√2iperiod12iperiod,12iperiod12iperiod,1.11,Alternating Current,Theoretical
175,If a meter scale is thrown along its length in space at a speed of 2.6×10^8 ms-1; what will its apparent length be?,1.5 m,0.499 m,0.529 m,0.75 m,Relativity,Mathematical
176,Gas constant; what is the value of R?,0.0821 JK−1mol−1,8.314 JK−1 mol−1,0.0821 Jkg−1K−1,8.314 Jkg−1 K−1,Kinetic Theory,Definition
177,A fan rotates 60 times per minute; Its angular velocity will be-,π rad/sec,2π rad/sec,3 rad/sec,2 rad/sec,Rotational Motion,Mathematical
178,If several wires of equal length but different specific resistances are connected in parallel across a battery; which wire will produce the most heat?,The one with the higher potential difference,The one with the higher specific resistance,The one with the larger cross-sectional area,The one with the shorter current duration,Current Electricity,Reasoning
179,To increase the time period of a simple pendulum by 50%; what change should be made to its effective length?,25%,55%,120%,125%,Oscillations,Mathematical
180,What should be the ratio of the frequencies of three sounds for the combined tune to be called a triad?,1:02:03,2:03:04,3:04:05,4:05:06,Waves,Definition
181,If three coplanar vector quantities acting at the same point at the same time are represented in the same order by the three sides of a triangle; their resultant is-,0,∞,3,1,Vectors,Theoretical
182,For which gate is the output 0 when the input is 1?,X NOR gate,NOT gate,XOR gate,OR gate,Semiconductor Physics,Definition
183,If an object is placed beyond the center of curvature of a concave mirror; the image is always ___.,Virtual, erect and magnified,Real, erect and magnified,Ray Optics,Theoretical
184,What is the distance between two successive collisions of a molecule called?,Critical path,Path of travel,Mean free path,Critical path,Kinetic Theory,Definition
